Column Name,Description,Unit,Type,Note
FIPS,"FIPS stands for Federal Information Processing Standards. FIPS codes are numbers that uniquely identify geographic areas.  The number of digits in FIPS codes varies depending on the level of geography. County-level FIPS codes have five digits, of which the first two are the FIPS code of the state to which the county belongs. ",,STRING,
Name,Geographic Area Name,,STRING,
Period,The year in which is the data is from,,STRING,
Data Level,The geographic level on which the data exists.,,STRING,"1 = US
2 = State
3.1 = County
3.2 = County Subdivision
4 = Tract
5 = Blog Group"
BLTENV220001,% of housing stock built to modern building codes (IRC) (using NSI data),,DOUBLE,
BLTENV220002,% of housing units that are less than 15 years old (using NSI data),,DOUBLE,
BLTENV220003,% of housing units that are more than 30 years old (using NSI data),,DOUBLE,
BLTENV220004,Average year built of housing stock (using NSI data),,DOUBLE,
BLTENV220005,% of housing units that are less than 15 years old (using census data),,DOUBLE,
BLTENV220006,% of housing units that are more than 30 years old (using census data),,DOUBLE,
BLTENV220007,Average year built of housing stock (using census data),,DOUBLE,
BLTENV220008,% of housing stock built to modern building codes (IRC) (using census data),,DOUBLE,
BLTENV220009,% of housing units that are mobile homes,,DOUBLE,
BLTENV220010,% of housing units that are owner occupied ,,DOUBLE,
BLTENV220011,"% of Units available for rent (excluding seasonal, rec, occ, migrant & other vacant)",,DOUBLE,
BLTENV220017,US Census Households: without Telephone Service (1-Year Estimate),,DOUBLE,
BLTENV220018,US Census Households: without Telephone Service (5-Year Estimate),,DOUBLE,
BLTENV220022,US Census Housing Units: Mobile Home (1-Year Estimate),,DOUBLE,
BLTENV220023,US Census Housing Units: Mobile Home (5-Year Estimate),,DOUBLE,
BLTENV220029,US Census Housing Units: Vacant (1-Year Estimate),,DOUBLE,
BLTENV220030,US Census Housing Units: Vacant (5-Year Estimate),,DOUBLE,
ECNVIT510001,BLS Civilian Labor Force Unemployment Rate,Percent,DOUBLE,
ECNVIT510002,US Census Population: Unemployed (1-Year Estimate),,DOUBLE,
ECNVIT510003,US Census Population: Unemployed (5-Year Estimate),,DOUBLE,
ECNVIT530001,"US Census Households: Income over $200,000 (1-Year Estimate)",,DOUBLE,
ECNVIT530002,"US Census Households: Income over $200,000 (5-Year Estimate)",,DOUBLE,
ECNVIT530003,US Census Households: Poverty (1-Year Estimate),,DOUBLE,
ECNVIT530004,US Census Households: Poverty (5-Year Estimate),,DOUBLE,
ECNVIT530005,US Census Housing Units: Median Household Income (1-Year Estimate),Dollars,DOUBLE,
ECNVIT530006,US Census Housing Units: Median Household Income (5-Year Estimate),Dollars,DOUBLE,
ECNVIT530007,US Census Per Capita Income (1-Year Estimate),Dollars,DOUBLE,
ECNVIT530008,US Census Per Capita Income (5-Year Estimate),Dollars,DOUBLE,
INFRA110007,% of households with broadband internet service,,DOUBLE,
INFRA120001,SAIDI (System Average Interuption Duration Index) with MED (Major Event Days),,DOUBLE,
INFRA120002,SAIDI (System Average Interuption Duration Index) without MED (Major Event Days),,DOUBLE,
INFRA120003,SAIFI (System Average Interuption Frequency Index) with MED (Major Event Days),,DOUBLE,
INFRA120004,SAIFI (System Average Interuption Frequency Index) without MED (Major Event Days),,DOUBLE,
INFRA120005,% of housing units heated by electricity,,DOUBLE,
INFRA120006,% of housing units heated by fuel piped to site,,DOUBLE,
INFRA120007,Year-over-year increase in homes heated by solar,,DOUBLE,
INFRA120008,% of housing units heated by fuel trucked to site,,DOUBLE,
INFRA130002,NOAA Critical Facilities: Hospital Medical,Facilities,DOUBLE,
INFRA140003,Average AADT of bridges that are at least 50 years old and in poor condition,,DOUBLE,
INFRA140004,Average detour of bridges that are at least 50 years old and in poor condition,,DOUBLE,
INFRA140007,Mean travel time to work (mins),,DOUBLE,
INFRA150001,% served by ground water public water systems,,DOUBLE,
INFRA150002,% of population served by ground water Public Water Systems that are out of compliance,,DOUBLE,
INFRA150003,% of population served by ground water Priority Public Water Systems Returned to Compliance,,DOUBLE,
INFRA150004,% of population served by ground water Public Water Systems Identified as Priority Systems,,DOUBLE,
INFRA150005,% of population served by ground water Public Water Systems returned to compliance,,DOUBLE,
INFRA150006,% of population affected by ground water Public Water Systems with at least 1 violation,,DOUBLE,
