UID,fips,period,INFRA120001,INFRA120002,INFRA120003,INFRA120004,INFRA150001,INFRA150002,INFRA150003,INFRA150004,INFRA150005,INFRA150006,INFRA150007,INFRA150008,INFRA150009,INFRA150010,INFRA150011,INFRA150012,INFRA150013,INFRA150014,INFRA150015,INFRA150016,INFRA150017,INFRA150018,INFRA140003,INFRA140004,SOCWB350001,SOCWB350002,SOCWB350003,BLTENV220001,BLTENV220002,BLTENV220003,BLTENV220004,INFRA110007,BLTENV220005,BLTENV220006,BLTENV220007,INFRA120005,INFRA120006,INFRA120007,INFRA120008,BLTENV220008,BLTENV220009,BLTENV220010,BLTENV220011,INFRA140007,ECNVIT510001,INFRA130002,SOCWB320013,SOCWB310003,SOCWB310004,ECNVIT530001,ECNVIT530002,SOCWB310005,SOCWB310006,ECNVIT530003,ECNVIT530004,BLTENV220017,BLTENV220018,ECNVIT530005,ECNVIT530006,SOCWB310007,SOCWB310008,SOCWB310009,SOCWB310010,BLTENV220022,BLTENV220023,SOCWB310011,SOCWB310012,BLTENV220029,BLTENV220030,ECNVIT530007,ECNVIT530008,SOCWB310015,SOCWB310017,SOCWB330004,SOCWB330005,SOCWB330006,SOCWB330007,SOCWB330008,SOCWB330009,SOCWB350006,SOCWB350007,SOCWB330010,SOCWB330011,SOCWB330012,SOCWB330013,SOCWB310018,SOCWB310019,ECNVIT510002,ECNVIT510003,SOCWB320016,SOCWB320017,SOCWB320018,SOCWB320019,SOCWB330014,SOCWB330015,SOCWB330016,SOCWB330017,NATENV410002,NATENV410003,NATENV410004,NATENV410005
1,01000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4452173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,01000,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4467634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,01000,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4480089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,01000,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4503491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01000,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4530729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,01000,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4569805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,01000,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4628981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,01000,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4672840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,01000,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4718206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,01000,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4757938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,01000,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4785298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,01000,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,01000,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,01000,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,01000,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,01000,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,01000,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,01001,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,612,,,,,,,,,,,,,,,,,,,,,,,,,44021,4531,,,,,,,,,,,,,,,,,209,198,7552,35694,,,,,,,,
19,01001,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,680,,,,,,,,,,,,,,,,,,,,,,,,,44889,4667,,,,,,,,,,,,,,,,,250,219,7674,36342,,,,,20.4,1.58,54.74,5.62
20,01001,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,740,,,,,,,,,,,,,,,,,,,,,,,,,45909,4817,,,,,,,,,,,,,,,,,278,220,7902,37069,,,,,,,,
21,01001,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,792,,,,,,,,,,,,,,,,,,,,,,,,,46800,4994,,,,,,,,,,,,,,,,,294,225,8089,37716,,,,,,,,
22,01001,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,869,,,,,,,,,,,,,,,,,,,,,,,,,48366,5190,,,,,,,,,,,,,,,,,326,226,8393,38893,,,,,,,,
23,01001,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,987,,,,,,,,,,,,,,,,,,,,,,,,,49676,5373,,,,,,,,,,,,,,,,,360,226,8629,39862,,,,,,,,
24,01001,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1043,,,,,,,,,,,,,,,,,,,,,,,,,51328,5670,,,,,,,,,,,,,,,,,374,230,9043,41031,,,,,18.65,1.79,54.44,5.69
25,01001,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1163,,,,,,,,,,,,,,,,,,,,,,,,,52405,5851,,,,,,,,,,,,,,,,,404,233,9290,41784,,,,,,,,
26,01001,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1175,,,,,,,,,,,,,,,,,,,,,,,,,53277,6056,,,,,,,,,,,,,,,,,428,252,9490,42359,,,,,,,,
27,01001,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1267,,,,,,,,,,,,,,,,,,,,,,,,,54135,6342,,,,,,,,,,,,,,,,,460,253,9694,42934,,,,,,,,
28,01001,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.37993497,35.16117046,,45.84136322,39.18754438,,14.51465666,,21.43985137,70.99396191,1.249419415,25.10968655,9,,1343,,6084,,301,,1067,,2232,,566,,53255,,338,,1177,,4616,,769,,1812,,24568,54632,6584,,7352.82,,28903.05,,6006.28,,,,,,,,14725,,1611,490,280,9743,43320,,11384,,10131.76,,,,
29,01001,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.70698568,38.65501624,,48.38983898,36.25862586,0,14.72647265,,20.60021044,71.12859692,1.175717096,25.34950312,8,,1335,,,,,,,,,,,,,,,,,,,,,,,,,55255,6894,,,,,,,,,,,,,,,,,512,258,9884,43718,,,,,18.24,1.8,53.11,5.61
30,01001,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1838565,39.71916474,,50.56687067,35.19614729,0,13.78549212,,20.87693074,70.15445939,1.150518639,25.59822252,7,,1327,,,,,,,,,,,,,,,,,,,,,,,,,55027,7245,,,,,,,,,,,,,,,,,550,274,9985,43338,,,,,,,,
31,01001,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.49684968,40.38433843,,49.62383538,35.94738678,0,13.89068806,,21.21962196,69.38793879,1.053105311,26.20038927,6,,1370,,,,,,,,,,,,,,,,,,,,,,,,,54792,7460,,,,,,,,,,,,,,,,,559,273,9991,42985,,,,,,,,
32,01001,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.19526548,42.33426954,,49.48286052,35.41174153,0,14.37647754,,19.62016852,67.97735277,1.93928046,26.74503242,6,,1428,,,,,,,,,,,,,,,,,,,,,,,,,54977,7658,,,,,,,,,,,,,,,,,563,275,10116,43008,,,,,,,,
33,01001,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.18776016,42.23009477,,51.8827221,33.97725044,0,13.66444401,,18.62988221,66.76556549,1.439199362,26.48891235,5,,1468,,6770,,488,,910,,2709,,468,,51281,,354,,1180,,4207,,883,,2186,,24974,55035,7920,,8426,,31670.16,,5584,,5508,,7057,,2597,,14044,,1984,578,268,10422,42774,,11073,,9262,,,,
34,01001,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.07801356,43.69992075,,51.04807692,36.57211538,0,11.78365385,,18.02852866,66.99832702,1.113850489,26.10405985,5,,1490,,,,,,,,,,,,,,,,,,,,,,,,,55416,8162,,,,,,,,,,,,,,,,,632,269,10685,42769,,,,,,,,
35,01001,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.94974827,24.34519696,45.01641327,,51.94737342,35.6891802,0,11.94072385,,19.06530753,66.64651002,1.218037319,25.76820941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,01002,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,01002,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,01002,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
